Year,CO2_emission
1980,0
1981,197.6849674
1982,207.1744049
1983,208.1902839
1984,207.2425133
1985,244.4375386
1986,256.2425807
1987,255.9694505
1988,265.1791242
1989,264.9339158
1990,280.3503001
1991,273.9323522
1992,292.8404323
1993,295.4500935
1994,310.4481053
1995,338.4802173
1996,320.8406935
1997,330.3825198
1998,345.4937828
1999,371.5892494
2000,364.302192
2001,382.6174911
2002,384.9338381
2003,389.4193598
2004,406.1708411
2005,412.9726477
2006,428.8833406
2007,444.9754709
2008,454.4403335
2009,451.0989965
2010,451.3660992
2011,448.7092106
2012,464.009976
2013,465.3757178
2014,469.1396435
2015,452.3393533
2016,465.3204013
2017,474.749421
2018,472.3547154
2019,456.1483385
